symbols,price,200_MA,150_MA,50_MA,200_MA_1month_ago,150_MA_1month_ago,200_MA_2month_ago,150_MA_2month_ago,52_Week_Low,52_Week_High,Rel_Strength,Above_30%_Low,Within_25%_High,RS_Rank
AWK,155.12,151.25445000000002,153.1623333333334,151.50679999999997,148.65135000000006,151.4212666666667,,151.75053333333338,120.54,165.55,91.49735468240667,156.70200000000003,124.16250000000001,0.2834890965732087
AMP,254.27,198.6127499999999,212.36246666666685,244.21200000000007,183.85135000000002,193.66100000000014,,179.25066666666672,132.12,265.65,136.67666222384372,171.756,199.23749999999998,0.8161993769470405
ABC,120.07,105.60064999999994,108.20680000000007,118.33680000000003,102.89649999999996,103.61786666666674,,101.15733333333341,90.78,125.85,91.7872311344361,118.01400000000001,94.38749999999999,0.2866043613707165
AME,132.85,116.33314999999989,121.4036666666665,130.58500000000006,110.11184999999996,115.12279999999991,,109.88826666666668,84.86,137.33,110.1164969192286,110.318,102.9975,0.5514018691588785
AMGN,251.01,239.43359999999976,237.58833333333286,249.13959999999986,239.22299999999973,236.52393333333296,,237.42986666666638,216.38,260.95,78.92980851118084,281.294,195.71249999999998,0.1059190031152648
APH,66.35,62.12005000000002,64.66503333333337,66.63640000000002,59.67285000000001,62.205900000000035,,60.04460000000003,45.105,68.98,104.05646461491487,58.6365,51.735,0.48909657320872274
ADI,159.36,140.15525000000014,147.73260000000008,155.00519999999995,134.8324500000001,140.42233333333348,,133.16653333333343,110.96,163.8,102.16582444717359,144.248,122.85000000000001,0.45482866043613707
ANSS,330.26,341.2195250000001,347.1271666666666,346.2116,334.0221250000001,341.90383333333335,,338.91370000000006,266.28,403.6,87.13354018922497,346.164,302.70000000000005,0.21495327102803738
ANTM,396.08,317.2861999999998,331.548333333333,372.49419999999986,300.01469999999983,309.53453333333306,,295.6481333333332,245.73,401.9,101.76881251834851,319.449,301.42499999999995,0.4423676012461059
AON,253.21,215.11795,219.7704666666666,238.89179999999993,208.43720000000002,211.76433333333324,,205.63119999999986,179.96,258.52,93.91424693088968,233.948,193.89,0.3177570093457944
