,symbols,price,200_MA,150_MA,50_MA,200_MA_1month_ago,150_MA_1month_ago,200_MA_2month_ago,150_MA_2month_ago,52_Week_Low,52_Week_High,Rel_Strength,Above_30%_Low,Within_25%_High,RS_Rank,Rule1,Rule2,Rule3,Rule4,Rule5,Rule6,Rule7,Rule8
206,GPS,32.54,23.483199999999997,25.655399999999986,32.401800000000016,20.396449999999994,22.54939999999999,,19.660399999999985,8.19,36.33,282.2008928752271,10.647,27.2475,0.9937694704049844,True,True,True,True,True,True,True,True
208,IT,231.95,161.58635,172.51193333333327,200.20740000000006,148.7859499999999,156.3571333333333,,145.24893333333338,115.66,234.0,140.4216652244107,150.358,175.5,0.8504672897196262,True,True,True,True,True,True,True,True
218,GS,366.26,268.1400000000002,289.72260000000006,344.04060000000015,246.7238000000003,260.6748000000004,,234.91233333333358,179.93,370.89,144.93387478163018,233.909,278.1675,0.8785046728971962,True,True,True,True,True,True,True,True
220,HAL,22.46,18.11609999999998,19.34653333333332,21.515000000000004,16.978899999999992,17.784866666666655,,16.476399999999988,11.17,24.36,137.9781469283603,14.520999999999999,18.27,0.8286604361370716,True,True,True,True,True,True,True,True
224,HCA,206.38,162.12684999999996,172.42399999999995,196.3502,148.66555,158.33033333333324,,147.45593333333323,92.48,211.89,137.72978990989841,120.22399999999999,158.9175,0.8255451713395638,True,True,True,True,True,True,True,True
237,HWM,33.76,25.13050000000001,27.644533333333353,32.14380000000001,22.673400000000008,24.77460000000002,,21.904200000000014,12.37,33.79,194.3196548290782,16.081,25.3425,0.9813084112149532,True,True,True,True,True,True,True,True
252,IP,63.53,48.807350000000035,52.002333333333254,57.26500000000001,45.32645000000003,48.438666666666606,,44.92459999999997,32.64,64.1,138.58387392649254,42.431999999999995,48.075,0.838006230529595,True,True,True,True,True,True,True,True
253,IPG,33.22,23.848700000000008,25.84699999999999,30.55819999999999,21.83825,23.132399999999997,,21.046466666666664,16.2,33.47,143.5246223456801,21.06,25.1025,0.8660436137071651,True,True,True,True,True,True,True,True
257,IVZ,26.88,18.67295000000001,21.17553333333336,26.26600000000001,16.27345000000001,18.19613333333335,,15.300600000000017,7.27,28.38,263.25634391780613,9.451,21.285,0.9906542056074766,True,True,True,True,True,True,True,True
266,JCI,64.5,50.30954999999999,53.31053333333336,62.20539999999999,46.31529999999999,49.12500000000002,,45.0774,29.41,65.91,155.51785576741227,38.233,49.4325,0.912772585669782,True,True,True,True,True,True,True,True
269,KSU,295.0,213.96230000000025,223.98126666666676,273.63859999999994,194.03505000000007,203.0006666666667,,191.27173333333332,142.58,313.45,142.64307896336678,185.354,235.0875,0.8598130841121495,True,True,True,True,True,True,True,True
271,KEY,23.12,16.851150000000004,18.310933333333335,21.20399999999997,15.40605,16.48626666666667,,14.884400000000017,10.71,23.52,153.2736643892514,13.923000000000002,17.64,0.9003115264797508,True,True,True,True,True,True,True,True
279,LB,64.79,44.62939999999998,49.51753333333331,64.53400000000002,37.6445,42.58926666666665,,36.058466666666654,13.86,70.48,305.90785616123725,18.018,52.86,0.9968847352024922,True,True,True,True,True,True,True,True
282,LRCX,614.1,479.6774749999996,525.0424666666662,605.46,440.2471749999997,469.5396333333332,,427.20983333333334,260.7,668.0,167.43632745905728,338.91,501.0,0.9470404984423676,True,True,True,True,True,True,True,True
289,LNC,68.65,49.139949999999935,53.84739999999995,64.56720000000001,44.810549999999935,47.541599999999974,,42.68439999999997,30.14,70.45,139.65500003442835,39.181999999999995,52.83750000000001,0.8442367601246106,True,True,True,True,True,True,True,True
291,LYV,89.26,70.28994999999998,75.59293333333333,83.66499999999998,65.17619999999998,70.41879999999998,,63.26559999999998,42.62,92.86,136.70403337060094,55.406000000000006,69.645,0.8193146417445483,True,True,True,True,True,True,True,True
292,LKQ,50.5,37.3334,39.55416666666667,45.47399999999997,34.415624999999984,36.233433333333345,,33.8388,24.77,51.06,141.92354859211525,32.201,38.295,0.8535825545171339,True,True,True,True,True,True,True,True
299,MRO,11.6,7.667000000000006,8.60046666666667,11.165999999999995,6.8612000000000055,7.266866666666671,,6.116599999999999,3.85,12.98,140.22539965890294,5.005,9.735,0.8473520249221184,True,True,True,True,True,True,True,True
304,MLM,362.54,289.2664000000001,310.47279999999995,351.3974,267.95195000000007,285.89359999999994,,261.2385333333334,178.63,378.28,143.65343453134557,232.21900000000002,283.71,0.8691588785046729,True,True,True,True,True,True,True,True
